      x1        x2         z
   -1.1186         0         0
    0.8757    1.7479    0.6144
         0    1.5818    1.0462
   -2.9031    0.2967   -0.2720
   -1.6126    1.1519   -0.0351
   -2.0126    0.9298   -0.3577
    1.9283    2.8169   -0.1138
    1.5159   -0.8417   -0.0446
   -0.9401   -1.2175   -0.5918
    2.6557   -3.0138    0.1112
   -2.9031   -0.5556    0.5597
    2.6557   -2.7585    0.3459
    2.5464   -3.0138    0.1099
   -0.9401    0.6294    0.3783
   -2.9031    1.9279   -0.8857
   -2.9031    1.7479   -1.0149
    2.2922   -0.3094    0.2188
   -2.0126    2.8169   -0.1422
   -2.0126   -0.5556    0.2221
   -2.9031         0         0
   -0.6367   -0.3094   -0.2602
    0.6334    2.5090    0.5114
   -0.9401    1.1519    0.5684
    2.2922    1.9279   -0.6308
   -1.1186    0.2967    0.1269
    1.9283   -0.3094    0.1090
    3.0618    2.7486   -0.4196
         0    2.5090    0.5712
   -0.6367         0         0
   -2.2586   -0.8417    0.4879
    1.5159    0.6294    0.0292
    0.3119    1.9279    0.8367
   -2.2586    2.7486   -0.2607
   -0.6367    0.9298    0.6091
   -1.6126   -0.8417    0.0329
    0.3119    0.6294    0.5905
    3.0618   -0.8417    0.6927
    3.0618    2.5090   -0.6409
   -1.1186    0.6294    0.2546
         0    1.9279    1.0260
    1.5159   -1.6039   -0.0508
    0.6334   -3.0138   -0.0951
    0.8757   -0.8417   -0.4886
    0.3119   -0.5556   -0.5508
    1.5159   -0.3094   -0.0158
    2.5464    0.2967   -0.2260
    1.9283   -1.7989    0.3573
    2.6557    2.8169   -0.2614
   -2.0126    0.6294   -0.2671
   -2.9031    1.5818   -0.9081
   -2.0126   -2.2443    0.3624
   -2.9031    2.5090   -0.5816
    1.9283    1.1519   -0.3445
   -2.2586         0         0
    1.5159    0.9298    0.0448
    1.2983   -0.8417   -0.1847
    1.9283   -0.5556    0.1885
    1.5159    1.9279    0.0480
         0    0.6294    0.5461
    0.3119    1.7479    0.8438
    1.2983   -3.0138   -0.0324
   -2.7707    1.7479   -0.9217
    2.5464    1.5818   -0.8002
    3.0618    1.7479   -1.0522
   -0.3145   -1.2175   -0.8453
    1.9283    2.5090   -0.2176
    0.3119    2.5090    0.5571
    2.5464   -1.7989    0.8150
         0   -1.6039   -0.9710
    2.5464    0.9298   -0.6522
   -2.9031    1.1519   -0.9724
   -1.1186   -1.2175   -0.4433
   -2.7707    2.7486   -0.3719
    1.2983    0.6294    0.1470
         0   -2.7585   -0.3891
   -2.7707    2.5090   -0.5061
   -0.9401    1.7479    0.6237
    1.9283   -2.1076    0.2960
    3.0618    1.1519   -0.8343
    1.5159   -0.5556   -0.0317
    2.2922    1.5818   -0.6657
    3.0618   -2.7585    0.3728
    0.6334   -1.2175   -0.7580
   -2.2586    0.9298   -0.4685
    2.2922   -1.6039    0.6024
   -2.7707    2.8169   -0.3076
    2.2922   -3.0138    0.0867
    0.6334    0.9298    0.6737
    1.5159    0.2967    0.0167
   -0.6367   -1.7989   -0.7655
   -2.0126   -1.2175    0.3942
    2.6557    0.9298   -0.7097
         0   -0.5556   -0.4864
   -1.1186   -2.7585   -0.1792
         0    0.2967    0.2762
    1.5159   -1.7989   -0.0514
    0.3119    1.5818    0.8980
         0    2.7486    0.3814
   -2.2586    1.1519   -0.6309
    0.3119   -0.3094   -0.3063
   -1.6126   -0.5556    0.0219
    0.6334   -2.2443   -0.5766
         0   -2.1076   -0.8355
   -0.3145    1.9279    0.8704
    1.2983   -0.5556   -0.1529
   -1.7247   -0.8417    0.1095
    3.0618    0.6294   -0.6012
   -0.3145    1.5818    0.9819
   -0.6367    2.7486    0.2798
   -0.9401   -2.1076   -0.4579
    3.0618    0.2967   -0.2660
   -2.2586   -2.1076    0.4956
    3.0618    1.5818   -1.0658
    3.0618    1.9279   -0.9823
    2.6557   -0.5556    0.4388
   -0.9401    2.7486    0.2483
   -0.3145   -2.2443   -0.6774
    2.6557   -0.8417    0.6444
    2.2922    0.2967   -0.2069
   -2.7707   -0.8417    0.6540
   -0.9401   -0.5556   -0.3176
   -0.9401    2.5090    0.3694
    2.5464   -2.1076    0.7373
   -0.6367   -0.8417   -0.5616
   -2.7707    1.1519   -0.9231
   -2.2586   -1.2175    0.5524
    1.2983   -1.2175   -0.2616
    0.6334    0.6294    0.4326
    2.6557    1.5818   -0.8491
   -1.6126    0.6294   -0.0254
   -2.9031    2.8169   -0.2969
    0.8757         0         0
   -1.1186   -0.8417   -0.3365
    0.3119    0.9298    0.7170
    0.8757   -2.2443   -0.5255
   -1.1186   -1.7989   -0.4031
    2.6557         0         0
    0.8757    2.7486    0.2568
   -0.3145    2.5090    0.5141
         0    1.7479    1.0115
    1.9283   -1.2175    0.3115
   -1.6126   -0.3094    0.0117
   -2.7707         0         0
    2.6557    1.9279   -0.8973
    0.3119   -2.2443   -0.7328
    0.8757    0.9298    0.5163
    1.2983    1.9279    0.2277
   -2.7707   -1.2175    0.8091
   -2.7707    0.9298   -0.7213
   -0.9401         0         0
    2.2922    0.9298   -0.5643
   -2.2586   -1.7989    0.6758
   -2.0126    0.2967   -0.1269
    2.5464    1.1519   -0.7880
   -2.2586    1.9279   -0.5482
         0    1.1519    0.8686
    0.3119    2.8169    0.3147
         0    2.8169    0.3139
   -0.9401    0.9298    0.5057
    0.6334    0.2967    0.2302
   -1.7247    0.2967   -0.0489
    0.8757    2.5090    0.4155
   -0.6367   -3.0138   -0.0931
    0.8757   -0.5556   -0.3184
    0.3119    1.1519    0.8439
    1.9283   -2.2443    0.2950
    1.5159    2.7486    0.0202
   -1.6126    2.5090   -0.0245
   -1.7247    1.7479   -0.1611
   -0.3145    0.2967    0.2710
   -0.3145    2.8169    0.2907
   -0.9401   -2.2443   -0.4616
   -2.2586    1.5818   -0.6646
    2.5464    1.9279   -0.8529
   -2.2586   -0.3094    0.2118
   -1.7247   -0.3094    0.0507
   -1.7247    1.1519   -0.1481
    2.5464   -1.6039    0.7743
    1.2983         0         0
    2.6557    1.7479   -0.9063
    0.8757   -3.0138   -0.0739
   -2.2586   -2.7585    0.2457
    2.6557   -1.6039    0.9024
   -0.3145   -3.0138   -0.1174
   -2.0126   -0.3094    0.1410
    0.6334   -0.3094   -0.2214
   -0.9401   -3.0138   -0.0819
   -1.6126    2.7486   -0.0153
    1.9283    1.9279   -0.3112
   -0.6367    1.9279    0.7939
   -2.9031   -0.3094    0.2805
    2.5464   -2.7585    0.2812
    2.2922    0.6294   -0.4135
   -1.6126   -1.7989    0.0414
    1.2983    1.5818    0.2831
   -1.6126    0.2967   -0.0111
   -0.9401   -0.3094   -0.1752
    2.5464         0         0
    0.8757   -0.3094   -0.2049
   -1.1186   -0.3094   -0.1425
    0.3119   -2.7585   -0.3609
    1.9283   -3.0138    0.0442
    0.8757   -1.7989   -0.6800
    1.9283   -1.6039    0.3335
   -0.3145         0         0
    0.6334    1.9279    0.7285
   -0.9401   -0.8417   -0.4339
    1.2983    1.1519    0.2347
   -1.6126   -2.7585    0.0172
   -1.1186   -3.0138   -0.0611
    2.6557   -0.3094    0.2632
    2.6557    0.2967   -0.2550
   -1.7247    2.5090   -0.0853
   -0.6367    1.5818    0.8359
    2.6557    1.1519   -0.8428
   -2.0126   -3.0138    0.0502
   -2.2586    0.2967   -0.2011
    1.5159    1.5818    0.0542
   -2.7707   -2.7585    0.3194
    0.8757   -1.2175   -0.5428
   -1.7247         0         0
   -0.9401   -1.6039   -0.5728
    0.6334   -0.5556   -0.4534
   -0.3145    1.7479    0.8478
         0   -1.2175   -1.0210
   -0.6367   -2.1076   -0.7390
    1.9283    0.9298   -0.2868
   -0.6367    1.7479    0.8509
   -2.0126    1.1519   -0.4219
    3.0618   -1.7989    0.8964
    2.2922    1.7479   -0.7038
    2.5464   -1.2175    0.7125
   -1.1186    1.7479    0.4166
   -1.6126    2.8169   -0.0141
    2.5464   -0.3094    0.2739
   -2.7707   -2.2443    0.7856
    0.6334   -2.1076   -0.6404
   -2.9031   -2.7585    0.3968
   -1.7247   -0.5556    0.0760
    0.6334   -1.6039   -0.8355
    0.6334    1.7479    0.7331
         0    0.9298    0.7698
         0   -1.7989   -0.9832
    1.9283   -2.7585    0.1283
    2.5464   -2.2443    0.6391
    0.8757    2.8169    0.2205
    0.3119   -1.2175   -0.8736
   -2.2586    2.8169   -0.1937
   -1.7247   -2.1076    0.1247
    1.2983   -1.6039   -0.2617
    2.6557    2.5090   -0.5443
    1.5159    2.5090    0.0329
         0   -3.0138   -0.1331
   -1.1186   -1.6039   -0.4348
   -0.6367    1.1519    0.6882
   -1.6126    0.9298   -0.0351
    0.8757    1.9279    0.5924
    1.9283    2.7486   -0.1207
   -2.7707   -1.6039    0.9962
   -0.6367   -2.2443   -0.6198
    1.2983    1.7479    0.2881
    2.5464    0.6294   -0.5141
   -1.6126   -2.1076    0.0366
   -2.9031    0.9298   -0.8269
    1.5159    2.8169    0.0172
   -0.6367   -2.7585   -0.2848
    0.6334         0         0
    2.2922   -2.1076    0.5794
   -2.7707    1.9279   -0.8073
   -1.6126    1.5818   -0.0442
   -1.1186    1.1519    0.4287
